Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Selection-Rate,0.4356060606060606,0.29347826086956524,0.46559633027522934,0.2553699284009546,0.554160125588697,0.21176470588235294,0.5892193308550185,302,LogisticRegression,Run_3
Positive-Rate,0.9583333333333334,0.9,0.9666666666666667,0.6993464052287581,1.0795107033639144,0.75,1.0893470790378006,302,LogisticRegression,Run_3
Mean,0.5339922136774071,0.5865635111081807,0.522085822273225,0.5982831943813283,0.4877110842455941,0.6267735638510231,0.47532160644305604,402,LogisticRegression,Run_4
Std,0.02155546239966584,0.01938208881114825,0.02204768986744857,0.02004656263381414,0.022641673631761037,0.018199223588451763,0.023076187666901136,402,LogisticRegression,Run_4
IQR,0.027985195528083786,0.02574158252459358,0.028493330877306298,0.02640060153399882,0.029125896742066767,0.024565102089055636,0.02958641894846762,402,LogisticRegression,Run_4
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402,LogisticRegression,Run_4
Jitter,0.04605519480519487,0.038312925170068526,0.04780867050653013,0.04039708190968743,0.050128298876553845,0.027913100724161016,0.05059311224489796,402,LogisticRegression,Run_4
Per_Sample_Accuracy,0.660625,0.6582564102564104,0.6611614401858305,0.6538914027149321,0.6654723127035831,0.6249462365591397,0.660859375,402,LogisticRegression,Run_4
Label_Stability,0.9378409090909091,0.949948717948718,0.9350987224157955,0.9465158371040724,0.9315960912052117,0.9664516129032258,0.9309375,402,LogisticRegression,Run_4
TPR,0.5836734693877551,0.4090909090909091,0.6108490566037735,0.3869047619047619,0.6863354037267081,0.2571428571428571,0.697594501718213,402,LogisticRegression,Run_4
TNR,0.7332155477031802,0.7984496124031008,0.7139588100686499,0.8248175182481752,0.6472602739726028,0.8620689655172413,0.6153846153846154,402,LogisticRegression,Run_4
PPV,0.6544622425629291,0.5094339622641509,0.6744791666666666,0.5752212389380531,0.6820987654320988,0.5294117647058824,0.7048611111111112,402,LogisticRegression,Run_4
