Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Positive-Rate,0.900990099009901,0.7088607594936709,0.9366197183098591,0.6875,1.0151975683890577,0.47368421052631576,1.0277777777777777,404,XGBClassifier,Run_4
Mean,0.5285986661911011,0.5802427530288696,0.516532301902771,0.5845756530761719,0.4954177737236023,0.5920783877372742,0.48006588220596313,504,XGBClassifier,Run_5
Std,0.047721147537231445,0.04923192039132118,0.047368165105581284,0.04743549972772598,0.047890473157167435,0.05329551547765732,0.04826679825782776,504,XGBClassifier,Run_5
IQR,0.06131847767215787,0.06459112189710141,0.060553841171002834,0.061217757960918905,0.061378180306421684,0.07021241770549254,0.06162287100148937,504,XGBClassifier,Run_5
Entropy,0.0,0.0,0.0,0.16468161790273403,0.0,0.0,0.0,504,XGBClassifier,Run_5
Jitter,0.10413497217068639,0.13262040816326517,0.09747949647148578,0.10712779768395901,0.10236094437775202,0.14734693877551036,0.09856216896922085,504,XGBClassifier,Run_5
Per_Sample_Accuracy,0.6488446969696969,0.6679999999999999,0.6443691588785048,0.6419338422391857,0.6529411764705882,0.6504545454545454,0.6470780399274048,504,XGBClassifier,Run_5
Label_Stability,0.8592045454545454,0.812,0.8702336448598131,0.8493638676844784,0.8650377073906487,0.7845454545454544,0.8714337568058076,504,XGBClassifier,Run_5
TPR,0.6206225680933852,0.5211267605633803,0.636568848758465,0.47096774193548385,0.6852367688022284,0.5,0.703125,504,XGBClassifier,Run_5
TNR,0.6881918819188192,0.7674418604651163,0.6634382566585957,0.7478991596638656,0.6414473684210527,0.7321428571428571,0.5930735930735931,504,XGBClassifier,Run_5
PPV,0.6536885245901639,0.5522388059701493,0.669833729216152,0.5488721804511278,0.6929577464788732,0.5161290322580645,0.7053291536050157,504,XGBClassifier,Run_5
FNR,0.37937743190661477,0.4788732394366197,0.36343115124153497,0.5290322580645161,0.3147632311977716,0.5,0.296875,504,XGBClassifier,Run_5
FPR,0.3118081180811808,0.23255813953488372,0.3365617433414044,0.25210084033613445,0.35855263157894735,0.26785714285714285,0.4069264069264069,504,XGBClassifier,Run_5
Accuracy,0.6553030303030303,0.68,0.6495327102803738,0.638676844783715,0.665158371040724,0.6477272727272727,0.6569872958257713,504,XGBClassifier,Run_5
F1,0.6367265469061876,0.5362318840579711,0.6527777777777778,0.5069444444444444,0.6890756302521008,0.5079365079365079,0.704225352112676,504,XGBClassifier,Run_5
Selection-Rate,0.4621212121212121,0.335,0.49182242990654207,0.3384223918575064,0.5354449472096531,0.3522727272727273,0.5789473684210527,504,XGBClassifier,Run_5
Positive-Rate,0.9494163424124513,0.9436619718309859,0.9503386004514672,0.8580645161290322,0.9888579387186629,0.96875,0.996875,504,XGBClassifier,Run_5
