Metric,overall,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
Jitter,0.2843013468013469,0.321958925750395,0.2748980933596318,0.2596349973161568,0.3002076843198338,201,HoeffdingTreeClassifier,Run_2
Per_Sample_Accuracy,0.6367424242424243,0.6383886255924172,0.6363313609467456,0.6442028985507248,0.6319314641744548,201,HoeffdingTreeClassifier,Run_2
Label_Stability,0.5992424242424242,0.5421800947867299,0.6134911242603551,0.6400966183574881,0.5728971962616821,201,HoeffdingTreeClassifier,Run_2
TPR,0.6836518046709129,0.6,0.6994949494949495,0.5510204081632653,0.7438271604938271,201,HoeffdingTreeClassifier,Run_2
TNR,0.6461538461538462,0.7279411764705882,0.621380846325167,0.7191011235955056,0.5849056603773585,201,HoeffdingTreeClassifier,Run_2
PPV,0.6086956521739131,0.5487804878048781,0.6196868008948546,0.5192307692307693,0.646112600536193,201,HoeffdingTreeClassifier,Run_2
FNR,0.31634819532908703,0.4,0.3005050505050505,0.4489795918367347,0.25617283950617287,201,HoeffdingTreeClassifier,Run_2
FPR,0.35384615384615387,0.27205882352941174,0.37861915367483295,0.2808988764044944,0.41509433962264153,201,HoeffdingTreeClassifier,Run_2
Accuracy,0.6628787878787878,0.6824644549763034,0.6579881656804734,0.6594202898550725,0.6651090342679128,201,HoeffdingTreeClassifier,Run_2
F1,0.644,0.5732484076433121,0.6571767497034401,0.5346534653465347,0.6915351506456241,201,HoeffdingTreeClassifier,Run_2
Selection-Rate,0.5009469696969697,0.3886255924170616,0.5289940828402366,0.37681159420289856,0.5809968847352025,201,HoeffdingTreeClassifier,Run_2
Positive-Rate,1.1231422505307855,1.0933333333333333,1.128787878787879,1.0612244897959184,1.1512345679012346,201,HoeffdingTreeClassifier,Run_2
Mean,0.5179512053322698,0.5606780475659205,0.5072821358514411,0.5567981195872822,0.4929003914668881,301,HoeffdingTreeClassifier,Run_3
Std,0.17327772620153137,0.19144620850082958,0.16874098091732792,0.18059978717136213,0.1685560233331358,301,HoeffdingTreeClassifier,Run_3
IQR,0.13269364233959888,0.1437326586263317,0.1299371542490656,0.1419891583860202,0.1266993375993833,301,HoeffdingTreeClassifier,Run_3
Entropy,0.0,0.2132315618371247,0.0,0.0,0.19769849158780603,301,HoeffdingTreeClassifier,Run_3
Jitter,0.1355218855218855,0.14270668773038445,0.13372781065088754,0.1354804079441761,0.1355486327448944,301,HoeffdingTreeClassifier,Run_3
Per_Sample_Accuracy,0.6606060606060606,0.6630331753554503,0.66,0.667632850241546,0.6560747663551403,301,HoeffdingTreeClassifier,Run_3
Label_Stability,0.8386363636363635,0.8360189573459715,0.8392899408284025,0.8444444444444443,0.8348909657320872,301,HoeffdingTreeClassifier,Run_3
TPR,0.5222929936305732,0.37333333333333335,0.5505050505050505,0.4217687074829932,0.5679012345679012,301,HoeffdingTreeClassifier,Run_3
TNR,0.8034188034188035,0.8602941176470589,0.7861915367483296,0.8389513108614233,0.7735849056603774,301,HoeffdingTreeClassifier,Run_3
PPV,0.6814404432132964,0.5957446808510638,0.6942675159235668,0.5904761904761905,0.71875,301,HoeffdingTreeClassifier,Run_3
FNR,0.47770700636942676,0.6266666666666667,0.4494949494949495,0.5782312925170068,0.43209876543209874,301,HoeffdingTreeClassifier,Run_3
FPR,0.19658119658119658,0.13970588235294118,0.21380846325167038,0.16104868913857678,0.22641509433962265,301,HoeffdingTreeClassifier,Run_3
Accuracy,0.678030303030303,0.6872037914691943,0.6757396449704142,0.6908212560386473,0.6697819314641744,301,HoeffdingTreeClassifier,Run_3
F1,0.5913461538461539,0.45901639344262296,0.6140845070422535,0.49206349206349204,0.6344827586206897,301,HoeffdingTreeClassifier,Run_3
Selection-Rate,0.3418560606060606,0.22274881516587677,0.3715976331360947,0.2536231884057971,0.3987538940809969,301,HoeffdingTreeClassifier,Run_3
Positive-Rate,0.7664543524416136,0.6266666666666667,0.7929292929292929,0.7142857142857143,0.7901234567901234,301,HoeffdingTreeClassifier,Run_3
