Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Per_Sample_Accuracy,0.6944507575757575,0.6980094786729857,0.6935621301775148,0.6981642512077295,0.6920560747663551,0.674141414141414,0.6863396226415094,204,XGBClassifier,Run_2
Label_Stability,0.9113257575757576,0.858957345971564,0.9244023668639053,0.8993236714975846,0.9190654205607476,0.8387878787878787,0.928,204,XGBClassifier,Run_2
TPR,0.6624203821656051,0.5333333333333333,0.6868686868686869,0.5578231292517006,0.7098765432098766,0.4411764705882353,0.7243816254416962,204,XGBClassifier,Run_2
TNR,0.7384615384615385,0.8014705882352942,0.7193763919821826,0.7940074906367042,0.6918238993710691,0.8153846153846154,0.6639676113360324,204,XGBClassifier,Run_2
PPV,0.6709677419354839,0.5970149253731343,0.6834170854271356,0.5985401459854015,0.7012195121951219,0.5555555555555556,0.7118055555555556,204,XGBClassifier,Run_2
FNR,0.3375796178343949,0.4666666666666667,0.31313131313131315,0.4421768707482993,0.29012345679012347,0.5588235294117647,0.2756183745583039,204,XGBClassifier,Run_2
FPR,0.26153846153846155,0.19852941176470587,0.2806236080178174,0.20599250936329588,0.3081761006289308,0.18461538461538463,0.3360323886639676,204,XGBClassifier,Run_2
Accuracy,0.7045454545454546,0.7061611374407583,0.7041420118343196,0.7101449275362319,0.7009345794392523,0.6868686868686869,0.6962264150943396,204,XGBClassifier,Run_2
F1,0.6666666666666666,0.5633802816901409,0.6851385390428212,0.5774647887323944,0.7055214723926381,0.4918032786885246,0.7180385288966725,204,XGBClassifier,Run_2
Selection-Rate,0.4403409090909091,0.3175355450236967,0.4710059171597633,0.3309178743961353,0.5109034267912772,0.2727272727272727,0.5433962264150943,204,XGBClassifier,Run_2
Positive-Rate,0.9872611464968153,0.8933333333333333,1.005050505050505,0.9319727891156463,1.0123456790123457,0.7941176470588235,1.017667844522968,204,XGBClassifier,Run_2
Mean,0.5252094268798828,0.5804186463356018,0.5114234685897827,0.593177855014801,0.48137933015823364,0.6172141432762146,0.4673233926296234,304,XGBClassifier,Run_3
Std,0.046920545399188995,0.04733768105506897,0.0468163788318634,0.04578777402639389,0.0476510189473629,0.047868240624666214,0.047816336154937744,304,XGBClassifier,Run_3
IQR,0.062216945133651745,0.062398039334193224,0.06217172516168222,0.060475424939883504,0.06333998152028734,0.06262468599309826,0.06358136933929516,304,XGBClassifier,Run_3
Entropy,0.12430879184658569,0.1770450090292235,0.11114033998204537,0.12697339060989546,0.1225904991861336,0.0,0.11411776841900716,304,XGBClassifier,Run_3
Jitter,0.07553107606679033,0.1118522100783442,0.06646153846153852,0.07948930296756397,0.072978574607413,0.12408987837559471,0.06704967269926843,304,XGBClassifier,Run_3
Per_Sample_Accuracy,0.6954356060606061,0.6977251184834123,0.6948639053254437,0.6992753623188406,0.6929595015576324,0.6721212121212122,0.6871698113207548,304,XGBClassifier,Run_3
Label_Stability,0.9060227272727273,0.854218009478673,0.9189585798816567,0.897487922705314,0.9115264797507789,0.8363636363636363,0.9203018867924528,304,XGBClassifier,Run_3
TPR,0.6624203821656051,0.5333333333333333,0.6868686868686869,0.5578231292517006,0.7098765432098766,0.4411764705882353,0.7243816254416962,304,XGBClassifier,Run_3
TNR,0.7384615384615385,0.8014705882352942,0.7193763919821826,0.7940074906367042,0.6918238993710691,0.8153846153846154,0.6639676113360324,304,XGBClassifier,Run_3
PPV,0.6709677419354839,0.5970149253731343,0.6834170854271356,0.5985401459854015,0.7012195121951219,0.5555555555555556,0.7118055555555556,304,XGBClassifier,Run_3
FNR,0.3375796178343949,0.4666666666666667,0.31313131313131315,0.4421768707482993,0.29012345679012347,0.5588235294117647,0.2756183745583039,304,XGBClassifier,Run_3
FPR,0.26153846153846155,0.19852941176470587,0.2806236080178174,0.20599250936329588,0.3081761006289308,0.18461538461538463,0.3360323886639676,304,XGBClassifier,Run_3
Accuracy,0.7045454545454546,0.7061611374407583,0.7041420118343196,0.7101449275362319,0.7009345794392523,0.6868686868686869,0.6962264150943396,304,XGBClassifier,Run_3
F1,0.6666666666666666,0.5633802816901409,0.6851385390428212,0.5774647887323944,0.7055214723926381,0.4918032786885246,0.7180385288966725,304,XGBClassifier,Run_3
Selection-Rate,0.4403409090909091,0.3175355450236967,0.4710059171597633,0.3309178743961353,0.5109034267912772,0.2727272727272727,0.5433962264150943,304,XGBClassifier,Run_3
Positive-Rate,0.9872611464968153,0.8933333333333333,1.005050505050505,0.9319727891156463,1.0123456790123457,0.7941176470588235,1.017667844522968,304,XGBClassifier,Run_3
